bugid,sd,rs
550169,"Improve Tychos handling of includeSource=""true"" in target definition",1
550170,tycho-source-feature-plugin should by default ignore missing sources,0
550171,"tycho-p2-repository-plugin should provide an option ""includeSource""",0
550172,Source for feature not found if it is included as a subfeature,0
550174,Changes in Formating profiles are thrown away after restarting eclipse,1
550178,NPE when an invalid package is exported or opened,1
550181,Java doc warning in the build I20190816-0155,1
550182,"Adding filter for API tools problem ""The re-exported type package.ClassName in PluginB_1.0.0 is no longer API"" doesn't work",1
550183,Eclipse only issues a warning for name collision but Javac reports an error,1
550184,Eclipse 4.13 prerequisites for M3: ECF,0
550185,Eclipse 4.13 prerequisites for RC1: EMF,1
550186,Eclipse 4.13 prerequisites for M3: Orbit,1
550189,Compatibility check prohibits installation,0
550190,org.eclipse.equinox.p2.artifact.checksums.bouncycastle has no src folder,1
550191,"[Designer, Components] Fix issues in connector reification",1
550193,Activate Azure DevOps integration for eclipse/antenna github project,0
550194,Debug view collapses all content if hidden,0
550195,Reduce wait time in runtime process termination,1
550196,org.eclipse.tycho.p2.impl.publisher.P2GeneratorImpl.getProductFiles(File) should ignore polyglot files,1
550197,UI freeze in JavaOutlineInformationControl,1
550199,New JACC maven coordinates,1
550200,"""Dirty"" flag appears when opening PDF file",0
550201,"[Passage] provide tutorial ""Create Licensed RCP""",1
550202,[Py4J] Large integers throw when used in script shell,1
550203,[API Analysis application] Exceptions return success,1
550204,Performance#assertPerformanceInRelativeBand should be static,0
550205,Use varargs in Evaluator#setAssertCheckers,0
550206,org.eclipse.tycho.core.osgitools.EclipseRepositoryProject.getProductFiles(MavenProject) should ignor polyglot files,1
550208,Provide reliable way to measure startup performance,0
550209,Improve interactive performance of the Eclipse SDK 4.14,1
550211,Remove try catch block in StructuredViewer,1
550212,"[Designer, releng] Create a 2019-06 target platform",1
550213,Unable to run Bugzilla Manager on 'modeling.mmt.qvt-oml',1
550214,PROXY server is not honoured by Eclipse,1
550216,Enable hashcode usage in DetailedProgressViewer (used in the Progress View),0
550217,[room.ui] Wrong quickfix for unresolved reference to port,1
550219,CommandProviderAdapter service registration should have the same service.ranking than the adapted CommandProvider service,1
550220,Sometimes incomplete stack is shown for threads that were expanded before resume,1
550222,TeamAction getTargetPage() can return null,1
550223,Update wizard elements to use hash code lookup for viewers,0
550224,Use hash lookup in NewWizardNewPage,1
550226,[content assist] New proposal category may get enabled by default,1
550227,Assign resource pack to project Eclipse.platform,1
550229,[release] ee4j.bean-validation 2.0.0,1
550230,[release] ee4j.batch 1.0.0,1
550231,[release] locationtech.geowave 1.0.0,1
550233,Change download page to use eclipse mirror script,1
550235,4.13 I Build failed due to SWT Increment job failure for 20190819,1
550236,53 test failures in pde.api.tools.tests for Y20190819-0900,1
550237,14 test failures in template tests in PDE in Y build,1
550239,pomless build should support overriding of derived maven coordinates,1
550240,Activate parallel loading of bundles,0
550241,New Plug-in wizard should use hash lookup,1
550242,Mac native build taking very long,1
550243,Assign resource pack to project Eclipse.platform,1
550244,[Examples] Decorator example is available even if the Papyrus examples are not installed,1
550245,ApiBaselinePreferencePage should use fast hash lookup,1
550247,CommitFileDiffViewer should use fast hash lookup,1
550248,Windows test machine is down,1
550250,Remove ManifestBuilder and SchemaBuilder from API analysis,1
550251,Code completion help popups might stall the UI,1
550254,Release SWT Builder classes as API,1
550258,Use fast tree lookup in debug launch config,0
550259,Update IDE e4 command templates to remove menu / command / handers if the plug-in is not present,1
550260,"API Analysis steps in Tycho build should use I-Build as runner, and latest release as baseline",1
550261,"""Searching..."" does not stop in Quick Search dialog",1
550262,CCE in Categorization with composite categories and a depth of 1,1
550264,In Eclipse Photon Remote System Explorer and  FTPClient class is missing,0
550265,UI freeze in Installed Software tab,1
550266,4diac IDE tycho build should generate download packages with the correct nameing,1
550267,NPE when opening Quick Outline,1
550269,[win32] No longer able to use an external class folder build path entry using a UNC path,1
550270,Assign resource pack to project Eclipse.platform,1
550271,JFace Viewer should guard against null access in findItems if useHashLookup is used,0
550274,Make it happen e4 product has missing dependency,1
550276,[release] technology.openj9 0.16.0,1
550278,Add download stats generation for 4diac IDE update sites,1
550279,Missing logo on https://www.eclipse.org/ide/ for IDE Platforms,1
550281,Please add all these items to events.eclipse.org,1
550283,Display ports are not available on hippcentos attached to releng JIPP,1
550285,tycho pomless should support target-definition builds,1
550288,"[Quicksearch] Quicksearch dialog shows ""Searching..."" even when there are no search parameter",1
550289,Constant UI freezes with Error log view with specific log entries,0
550290,Lack of TypeSafeEnum#hashCode may lead to non-deterministic bytecode,1
550292,Use concise text in discard all changes dialog,1
550293,Use concise text in reset dialog,1
550294,"Error log ""Maximum log size"" field is never enabled",1
550296,[ui] Improve usability of genmodel validation,1
550297,Context menu 'Create View Model Project' action fails to load ecore,1
550299,"Opening ""Customize perspective"" activates all (also invisible) action sets",0
550300,[13] AST.isPreviewEnabled() to also check for latest version followed by cleanup of preview enabled checks,1
550303,Please syntax-highlight shell scripts (.sh files),0
550304,Provide better support for editing and compiling JET templates,1
550305,Jakarta Stable release Jenkins jobs unable to access github,1
550306,Apply light theme for EGit Jenkins,1
550308,[Core Build] allow toolchain to help set the name of the build config,1
550311,Synthetic $SWITCH_TABLE$ method being processed by compiler,1
550312,Declare 4.13 M3,1
550313,tycho-versions-plugin uses hard-coded polyglot file,1
550315,eclipse-jee-oxygen-R-linux-gtk-x86_64.tar.gz is not working,1
550316,[Feature View] features from target platform,1
550317,[Feature View] show products,1
550319,Provide declarative project templates,0
550320,CVS server on hipp10 not accessible,1
550321,[Tests] Some tests are failing because of ProxyModificationTrackingAdapter,1
550322,[GTK] Intermittent test failure isFocusControl,1
550325,Junit test MenuVisibilityTest.testVisibilityTracksEnablement fails in nightly builds,0
550327,"Move ""Quick Search"" preference page under ""Preferences > General""",1
550328,Junit test IEditorRegistryTest.testBug308894 fails in nightly build,1
550329,[UI Improvement] Rethink the selection change event handling,1
550330,[Model2Doc] make uniform the required dependencies version of the model2doc plugins,1
550331,[Model2Doc] provide a bundle tests plugin for Model2Doc,1
550332,Add a tooltip on the LOCKED_BY_OTHER diagram semantic element figure.,1
550334,clean up: convert for loops to enhanced results in null pointer (in certain files),1
550335,Signing commits is too permissive when locating SecretKey,1
550338,Generic type cache not update on EClasses,1
550340,NullPointerException in CloneCommand#cleanup,1
550341,[Dark Theme] Scale has bright background on CTabFolder,1
550342,"CI-Build fails with ""Invalid target platform location: /tmp/genie.tycho/tycho-ci/win32/3.6.2/eclipse""",1
550344,Break point stopped working in debug mode,0
550345,[Tests] testBug545769_UTF8OutOdd fails on Windows,1
550346,UI Freeze of approx 40 seconds on opening Launch Configuration Dialog,1
550347,Provide Platform.getLog(.class) method,1
550348,Java container support shows image id rather than repo tag,1
550350,Improve performance of annotation column painting,1
550351,Enable read access to all ee4j Jenkins instances for ee4j contributors,1
550353,Disable UI monitoring in dev mode,1
550354,[13] yield in a non-paranthesized if block is flagged as an error,1
550355,Cleanup PlatformUIPreferenceListener,1
550356,[13] Compiler should recognize text blocks even if preview is disabled,1
550357,Update Base builder from 4.13 M3 to build 4.13 RC1,1
550358,Remove prior to 3.1 check in EditorRegistry#readResources,1
550362,Deploy ecj compiler from 4.13 M3 and use it for 4.13 RC1 build,1
550363,Improve performance of EditorRegistry#readResources,0
550364,Help hovers cause NPE when help is not available,1
550365,Remove preference settings for DOCK_PERSPECTIVE_BAR,1
550366,[ELK] Add an action to export the ELK graph corresponding to a Sirius diagram,1
550367,Remove preference settings for SHOW_TRADITIONAL_STYLE_TABS,1
550368,[ELK] All ELK algorithm options are not avalaible in VSM,1
550369,Update Plug-in and product version number for 1.11.0 release,1
550370,Design 1.11. splash screen,1
550371,Removal of intermediate cross referencers,1
550372,Replace Activator log calls in org.eclipse.ui.internal.monitoring.MonitoringPlugin with standard log calls,1
550373,[ELK] Do not call BorderItemAwareLayoutProvider when an ELK layout algorithm is used.,1
550374,[ELK] Allow to made specific changes linked to semantic aspects before and after the layout,1
550375,Remove unused API filter,1
550376,[JUnit 5] Cannot run Jupiter tests in a project with module-info.java after upgrade to JUnit 5.5.1,1
550378,[release] ecd.dirigible 4.0.0,1
550381,Update build and version to work with 2019-09 and new CI infrastructure,1
550382,"Allow label located outside of a node, or border node, to be ""everywhere"" around the node",1
550383,Remove usage of InternalPlatform#log and delete method,1
550386,Http whiteboard bundle declares duplicate osgi.implementation capability via p2.inf,1
550388,Shell.getBounds() wrong when shell is maximized.,0
550389,[ELK] Improve ELK graph transformation,1
550392,[release] locationtech.proj4j 1.1.0,1
550394,[AutoRefactor immigration #10/116] [cleanup & saveaction] Lambda expression enhancement,1
550396,UI freeze of 15s on enabling word wrap in file with marker,1
550397,Error resolving overloaded conversion operators when one of them is a template,1
550399,ILog should provide methods for logging with simple Strings,1
550401,Error is displayed and unable to update the software in Neon.3 Release (4.6.3),0
550405,Login is not working,1
550406,GatewayValidator ignores MIXED type,1
550407,org.eclipse.core.runtime.feature is missing jobs,1
550408,[compiler] Bogus compile error observed on team CheckUniqueCallinCapture,1
550409,update org.eclipse.license from 2.0.0 to 2.0.2,1
550410,[model] undue caching of module while moving / renaming module-info.java,1
550411,Update 4diac IDE to EPL 2.0,1
550412,Update 4diac FORTE to EPL2.0,1
550413,Marketplace search produces an error,1
550414,logging is limited to WARN,1
550417,Error launching the IDE,0
550418,[model] IllegalArgumentException below FieldData.toString() triggered by chain completion,1
550419,"""Save Resources"" dialog shown when closing RCP app and should not be",1
550421,All the slaves for Releng JIPP are down,1
550422,Automatically show list for selection boxes in tables and inline graphical editors,1
550423,Crash at creation of Combo SWT.READ_ONLY,1
550424,Solutions with EPL 2.0 are filtered out from MPC API responses,1
550425,Add type ahead search for all combo boxes,1
550426,AERI down?,1
550428,Usability Improvements for 4.14,1
550432,Improve logging in org.eclipse.core.databinding,0
550434,Remove all p2.inf files that try to simulate the Provide-Capability manifest header,1
550435,[C++ Gen] NullPointerException during cpp state machine generation,1
550437,Layouting issues on nabula dialog (opal) for Exception and input,1
550438,Minor improvements for MultiStringMatcher,1
550439,Mark BookmarkNavigator and related API for deletion,1
550441,[Dark Theme] Variables and Expressions View Icons too dark,0
550442,Adding  jar for chemistry-opencmis-osgi-client-1.1.0.jar,0
550443,[Model2Doc] The framework must provide a tool to create a DocumentPrototype from a DocumentTemplate,1
550444,Showing all mailing lists is broken when logged in,1
550445,[visitors] Generated accept is not fully extensible.,1
550446,[C++ Gen] Non initialized property causing execution error,1
550448,[C++ Gen] State machine code generation with empty loop causes execution issues,1
550449,[release] rt.jetty 10.0.0,1
550451,[quick assist][rulers] Quick Assist light bulb no longer works,1
550452,Cannot publish local branch to Github,0
550454,tmf: java.lang.IllegalArgumentException in state system explorer for experiment with 1 empty trace,1
550455,[release] ee4j.jakartaee-platform 8.0.0,1
550456,[release] ee4j.faces 2.3.0,1
550457,Update latest Java release version for JavaSE_10_Plus,1
550458,Eclipse 4.13 prerequisites for RC1: Orbit,1
550459,Nightly Build IDE Update Error,1
550461,"Remove info message ""... was detected to be hosted by a Gerrit server""",1
550462,Remove 3.4 preference migration in org.eclipse.equinox.p2.ui.sdk.scheduler,1
550463,Supported tags,1
550464,[performance] Filtering plugins in About dialog is slow,1
550465,Sonar related build problem in CapellaStudio,0
550466,Drop Shell editor modules,1
550468,Update Base builder from 4.13 RC1 to build 4.13 RC2,1
550469,Deploy ecj compiler from 4.13 RC1 and use it for 4.13 RC2 build,1
550470,[14] Infrastructure Support for Java 14,1
550471,Improve and deprecate TextUtilities.indexOf,1
550473,Add faster nextDelimiter utility method,1
550474,Linuxtools GCov incorrectly interprets data files generated by gcc version 9.1,1
550475,Enhance support to disable event handling in GlazedListsEventLayer,1
550476,Remove .project files from apitools/org.eclipse.pde.api.tools.tests/test-builder data,0
550478,DAP based breakpoints are interferring with normal CDT breakpoints,1
550479,show users the configured runtime,1
550480,ClassFile.addFieldInfos throws ArrayIndexOutOfBoundsException - part 2,1
550481,Grant access to projects storage service to the Jenkins instance of project Eclipse Kuksa,1
550482,Use shorter restart text after installation,1
550484,Managing alerts for vulnerability - Codewind,1
550485,Upload file size limit is incorrect,1
550486,Text editor status line shows selection size even after disabling the preference,1
550488,Codewind build with docker build agent is failed with 'no space left on device' message,1
550490,[metatype] avoid reloading the same ResourceBundle multiple times,1
550492,[content assist] Null pointer exception in the code autocomplete in ChainCompletionProposalComputer,1
550494,NullPointerException compiling aspect using @DeclareParents to implement interface,1
550495,502 error in jenkins build,0
550497,Readme file for 4.13,1
550498,N&N for 4.13,1
550499,Do the Javadoc bash for 4.13,1
550501,[GTK] Ability to place not digit characters to DateTime,1
550504,[14] JEP 359 : Records (Preview),1
550505,[15] JEP 360: Sealed Types (Preview),1
550507,Menu icons are not shown at proper position,0
550508,[Refactor] Move ConvertAnonymousToNestedRefactoring into jdt.core.manipulation for the use of jdt.ls,1
550512,JIPP Request for project Che4z,1
550513,StagingView: catch RuntimeExceptions during commit,1
550515,[Model2Doc] The bundle tests don't found the Model2Doc plugins on hudson to check them,1
550516,Create JDT and Platform porting guides for 4.13 and update links in Welcome page,1
550517,[GTK3] Swing components keep the focus when coming back to SWT widgets,1
550518,"[13] Remove JCP disclaimers from code, UI and marketplace",1
550521,`variables` invoked too many times and lead to too many request and potentially erroneous display,1
550522,[13] Create examples wiki page,1
550523,4.13 Acknowledgements,1
550524,Using EE 11 or 12 with JRE 13 and no module-info.java results in compile error (Object not found),1
550525,"[freeRTOS] Timer is using posix timer, which is not always available",1
550526,Fatal error during semantic analysis of recursive ASN.1 type,1
550527,"When dragging/scrolling in the calendar of a DateField, pressing ESC will cause a UI error",1
550528,Incorrect float2str result,1
550529,org.eclipse.jgit.nls.NLS creates still a memory leak,1
550530,Allow ports on mqtt.eclipse.org vserver,1
550533,Opening the datepicker with the button is not working after picker is closed via the button,1
550537,Add contributing entry to help menu,1
550539,"""Save Resources"" dialog - new button name causing confusion",0
550541,MWE and JIRO,1
550542,Stored procedures not supporting named parameters for Oracle,1
550543,NPE in tycho pomless aggregation,1
550544,Babel server is not ready for PHP 7,1
550545,MAT macOS binaries should be signed for apple's gatekeeper,1
550547,Declare 4.13 RC1,1
550548,Remove activator from org.eclipse.core.filesystem,1
550550,Remove activator from org.eclipse.e4.tools.preference.spy,0
550551,Provide access to bundle preference store outside AbstractUIPlugin,1
550552,Please remove tools.shellwax bugzilla component,1
550553,[JAWS] checked state not read correctly for CheckboxTableViewer,0
550554,Incremental builder stops showing squiggles,1
550555,org.eclipse.swt.SWTError: No more handles error when 10K Hyperlinks are created,0
550558,[room.ui] Unresolved elements cause error popup in editor,1
550559,"No Error for Transition Event as ""None"" without any condition",1
550560,Rename dialog shown after inline editing,1
550564,Please make glassfishrobot admin of https://github.com/eclipse-ee4j/jta-api,0
550565,Request to delete branch on scout/org.eclipse.scout.rt,1
550566,Access to Eclipse Packager staging repository on Maven Central,1
550570,Auto-share sets session property org.eclipse.team.core:repository for project at git ignored location,0
550571,Please disable all of Eike Stepper's cronjobs,1
550572,The products in org.eclipse.platform.releng.tychoeclipsebuilder all have corrupt licenses,1
550573,Add option to remove provisioned projects.,0
550574,Update avatar for the eclipse-theia org,1
550575,Linux Tools rpmcreaterepo tests failing in gerrit,1
550578,Replace activator in org.eclipse.equinox.p2.garbagecollector with tracing functionality,1
550579,Improve activator startup time of org.eclipse.emf.common,0
550581,ci.eclipse.org/xtext (JIRO) extra slow,0
550582,Allow to show shortcut popup only for mouse interaction,1
550583,Fix files that have ended up with CRLF in the git repository,1
550584,Add .ignore files for bin folders of example projects,1
550585,Fix files that have ended up with CRLF in the git repository,1
550586,Fix files that have ended up with CRLF in the git repository,1
550588,HandlerUtil.getActiveMenuSelection not working in scenario with two context menus,0
550590,Please build the localbuild.xml as part of an incremental build too,1
550591,Please build the localbuild.xml as part of an incremental build too,1
550593,Please don't include org.eclipse.m2e.core.maven2Nature,1
550594,Please set incompatible_api_component_version=Warning,1
550595,ExecutionError while opening the Plug-in menu spy,0
550596,Please export the org.eclipse.pde.internal.build.tasks package,1
550597,Update filter icons in history view,1
550598,Create additional repository for che4z,1
550599,org.eclipse.equinox.supplement has incorrect version for package org.eclipse.equinox.log,1
550600,Add GitHub plugins to TM4E CI,1
550604,OpenJ9: Script approval(s) for test autoGen job,1
550605,[cds] j9 shared classes impl checks for zip entry before checking cache,1
550606,[GTK] Right-click > Rename from Project Explorer non-functional when starting with only hidden projects,1
550609,[eclipse.pde.ui] Snapshot build fails,1
550610,Release Mylyn Docs 3.0.35,1
550612,[ui] Diagrams should be openable for non-critical validation issues,1
550613,[ui] Add initial transition in diagrams automatically,1
550617,Utility to restore preference values in tests,1
550618,[console] IOConsolePartitioner produces overlapping style ranges,1
550620,Fix style range override in TextConsoleViewer,1
550621,[console] Improve input handling in IOConsole,1
550622,spring xml validation always failed,0
550623,issue with new way encoding,1
550624,"[Designer, C++] Centralize context information and make API ""safer""",1
550627,[otdre] Recent JDK doesn't like attempts to weave into certain system classes,1
550628,Migrate EPP to consistently use EPL 2.0 and SUA 2.0,1
550629,Flaky download of build products,1
550630,"Please don't use absolute URLs for child location attributes, e.g., not in 2019-09",1
550631,Unexpected runtime error while computing a text hover,1
550633,Design View Error,0
550636,Fix regressions at Java 12,1
550638,[ui] Remove maven support,1
550639,Remove support for gnuplot data logging,1
550642,Issue with board manager for esp32,0
550644,Improve performance in InjectorImpl,1
550645,Improve org.eclipse.osgi.framework.util.CaseInsensitiveDictionaryMap.CaseInsensitiveKey.hashCode(),1
550646,Improve ConfigApplier#refreshPackages performance,1
550648,The /org.eclipse.equinox.executable.feature/feature.xml should specify a provider,1
550649,[Win32] Link can't be read by NVDA with tab for a second time,1
550650,Eclipse 4.13 prerequisites for RC2: EMF,1
550651,Improve readability of CSS code around ViewCSSImpl#getComputedStyle,1
550655,Missing Counter(prescaler and offset) on RunnableCall entry created inside a Task,1
550656,[Releng] 2019-12 traceability,1
550657,[Table][Toolsmiths] Papyrus must provide a toolsmiths to register easily an existing tableconfiguration file into an existing architecture file,1
550658,I don't have access to IPZilla,1
550659,Extendable Footer actions for the Dialog(Opal),1
550661,@since Annotation is not always generated at the end of a comment,0
550662,Cache ViewCSSImpl#getComputedStyle,0
550665,OSSRH network issues,0
550666,Device properties are set too late during deployment,1
550667,[Zoom] Need password reset for tools_meeting,1
550669,LocationTech repo is down (7/2/2019),1
550670,JIPP for atl,1
550671,Refine JavaDoc for Dialog.shortenText,1
550672,Enhanced for each loop conversion creates wrong compilable code since 4.13M3,1
550673,Compare branches versus compare commits,1
550674,Specify hardened runtime for Mac app signing,1
550676,the Checkbox button should also be possible on the MessageArea,1
550677,Sign Mac native libraries,1
550679,Update JDT Tips & Tricks for 4.13,0
550680,Update PDE Tips & Tricks for 4.13,0
550681,CDO importer and migrator must add the org.eclipse.emf.cdo.edit dependency to the generated edit plugin,1
550682,Launching RCP via the existing launch config doesn't pick up latest source,1
550683,Update Platform Tips & Tricks for 4.13,0
550684,Install Java 13 release candidate,1
550685,Import plugins as source from target doesn't import api nature.,1
550686,[13] Remove disclaimers from BETA_JAVA13 branch,1
550687,Remove disclaimers from JDT Debug code base and merge Beta branch to Master,1
550688,?d at end of update site causes downloaded artifacts to be broken,1
550689,IllegalArgumentException in PlatformLogWriter.convertRawEntryToStatus,1
550690,empty window after copying a file,1
550691,Staging view freezes on commit (NPE in AbstractTextEditor$TextEditorSavable.isDirty),1
550692,JDK path not updated in maven-toolchains.xml,0
550694,Remove unsed CSSSWTHTMLEngineImpl.java,1
550695,JIPP for chemclipse,1
550696,ClassCastException during load time weaving: InstructionHandle cannot be cast to BranchHandle,1
550697,"Unable to use serial connection with parity=none using some Windows drivers, usbser.sys for example",1
550698,Set OPC UA Data Subscriptions Publishing Intervals,1
550700,[release] tools.shellwax 0.1.0,1
550701,Eclipse workbench fails to restart with AdoptOpenJDK,0
550702,SerialPort.open0() leaks memory,1
550703,[release] tools.dartboard 0.1.0,1
550704,[release] technology.packaging.mpc 1.8.0,1
550705,Intermittent VerifyError due to incorrectly computed stack map (underlying cause: duplicate resolved types in the weaver World),1
550706,[release] technology.nebula.nattable 1.6.0,1
550707,OpenJ9: Need KNOWN_HOSTS global variable defined,1
550709,Use HashMap in ManifestElement instead of HashTable,1
550713,Remove invalid Solution Listings (2019),1
550714,Comparator errors in I20190903-1110,1
550716,Remove PMF from the Simultaneous Release,1
550717,[Win32] Wrong focus highlight with multi-link SysLink and mnemonics,1
550718,Change banner on eclipse.org to ECE,1
550719,[Win32] Cannot cycle in Link widget when it is the only widget,0
550723,Build failure in I20190903-1800,1
550724,Data Retention Policy - Eclipse Vorto,1
550725,[Win32] NVDA will read drop down item twice,0
550726,Convert to enhanced for loop results in NPE,1
550727,Update Welcome screen icon to something fitting to a welcome screen,0
550731,Most archive releases are not available,1
550732,Blank line before dropdown action in view on Fedora,1
550733,[GTK] Getter methods of DateTime returns wrong (old) date and time values when fields changed by keyboard,1
550734,[GTK] Cache Pattern.compile in Display,1
550736,Unable to run tests when path contains spaces,0
550737,Cleanup action create UI freezes > 300 seconds,1
